source,url,title,publication_date,scraping_date,section,full_text,language
acontecercr,https://acontecer.co.cr/nacionales/joselyn-saenz-ley-del-apagon-y-tarifazo-armonizacion-electrica,Joselyn Sáenz: «Esta es la ley del apagón y el tarifazo»,2026-05-27,2026-05-27 14:05:56,nacionales,"Diputada del Frente Amplio advierte que proyecto eléctrico debilita al ICE y encarece tarifas para los hogares La diputada del Frente Amplio por Cartago, Joselyn Sáenz , sentenció este lunes que el proyecto de armonización eléctrica en discusión en la Asamblea Legislativa es «la ley del apagón y el tarifazo», y anunció que su fracción se opondrá de frente a la iniciativa. Joselyn Sáenz argumentó que el proyecto concentra tres amenazas concretas: un alza inevitable en las tarifas eléctricas, el debilitamiento operativo del Instituto Costarricense de Electricidad y un mayor riesgo de apagones prolongados en el país. Tarifas y exportación: los primeros blancos del proyecto Joselyn Sáenz detalló que la propuesta abre múltiples portillos para encarecer el servicio eléctrico, incluyendo la creación de un nuevo canon que recaería sobre la ciudadanía. Advirtió, además, que la iniciativa eliminaría la capacidad del ICE para exportar energía, un mecanismo clave que hoy permite reducir las tarifas durante el segundo semestre de cada año. «El proyecto tiene grandes riesgos para la seguridad nacional: habilita espacios para aumentar las tarifas con un canon y elimina la potestad del ICE para exportar, lo que hoy le permite reducir la tarifa en los segundos semestres del año», afirmó Joselyn Sáenz, diputada del Frente Amplio. Joselyn Sáenz subrayó que esa combinación de factores haría el costo del servicio insostenible para las familias costarricenses, en un contexto donde la economía de los hogares ya enfrenta presiones. «El cerebro del ICE se desarticula» Sobre la estructura operativa de la institución, Joselyn Sáenz fue contundente: el proyecto desmantela el núcleo de toma de decisiones del ICE y deja la puerta abierta para que empresas privadas asuman funciones de distribución que hoy gestiona el Estado. «El cerebro de operaciones del ICE se desarticula», advirtió Joselyn Sáenz, y agregó que eso abre la posibilidad de que privados asuman funciones de distribución energética que actualmente están en manos de la institución. La legisladora advirtió que trasladar esas responsabilidades al sector privado elevaría la probabilidad de fallas técnicas con consecuencias graves para el suministro nacional. «Eso incrementa la posibilidad de errores humanos y de apagones que podrían tardar horas o incluso días en recuperarse en el país», sentenció Joselyn Sáenz. Por esas razones, Joselyn Sáenz sostuvo que la iniciativa compromete simultáneamente la seguridad nacional, el acceso estable a la electricidad y la economía doméstica de los costarricenses. Movimiento social como señal de alarma ciudadana Joselyn Sáenz también se refirió a la movilización que ha surgido en rechazo al proyecto y la interpretó como un termómetro del malestar económico que viven las familias del país. «Creo que eso refleja que a la gente le preocupa que las condiciones económicas en el país no están estables para las familias y eso hace que reaccionen ante un proyecto como este», indicó Joselyn Sáenz. La diputada valoró positivamente la convergencia de distintos sectores sociales en torno a una misma causa, y lo calificó como un avance en la capacidad organizativa de la sociedad civil costarricense.",es
acontecercr,https://acontecer.co.cr/nacionales/dinorah-barquero-protesta-electricidad-derecho-humano-ice-ccss,"Dinorah Barquero en protesta: «La electricidad es un derecho humano, no un negocio de unos pocos»",2026-05-27,2026-05-27 14:05:56,nacionales,"Dinorah Barquero rechaza proyecto que afectaría al ICE y la CCSS y llama a defender instituciones emblemáticas del país Dinorah Barquero, exdiputada del Partido Liberación Nacional (PLN) y presente en la manifestación pública convocada para rechazar el proyecto que amenaza al Instituto Costarricense de Electricidad (ICE) y a la Caja Costarricense de Seguro Social (CCSS) , fue contundente al explicar sus razones para salir a las calles. La exlegisladora aseguró haberse opuesto al proyecto desde el momento en que fue presentado, y defendió con firmeza que el acceso a la electricidad no puede quedar en manos del mercado privado. Lea también: Lea el discurso de Rodrigo Chaves ante el Congreso «La electricidad es un derecho humano y no puede verse como un negocio de unos pocos para beneficio económico de unos pocos», sentenció la exdiputada durante la concentración. Barquero destacó que su presencia en la protesta respondía a la convicción de que instituciones como el ICE y la CCSS deben ser defendidas por encima de cualquier cálculo político partidario. Rechazó que el debate en torno a estas instituciones deba leerse en clave de partidos. «Esto no es un asunto de partido. El ICE y la Caja son instituciones emblemáticas de este país, son buques insignias de la solidaridad y del estado de derecho», afirmó la exdiputada del PLN. Dinorah Barquero: el ICE y la CCSS como patrimonio de los más vulnerables La exlegisladora subrayó que el ICE y la CCSS están, en sus palabras, «muy sembrados en la profundidad del corazón de los costarricenses», y que su defensa es, ante todo, una defensa de los sectores más desprotegidos de la sociedad. Enfatizó que cualquier acción que debilite estas instituciones golpea directamente a quienes menos recursos tienen para buscar alternativas en el sector privado. «Hay que defender el ICE, hay que defender la Caja, hay que defender nuestra educación», recalcó Barquero frente al público presente. La exdiputada también valoró positivamente la movilización social de los últimos días, calificándola de necesaria y legítima dentro de un sistema democrático. Argumentó que en una democracia es fundamental que la ciudadanía escuche y respalde a quienes se oponen a proyectos que consideran perjudiciales para el interés colectivo. «Este pueblo tiene que entender que es una democracia y que hay que escuchar los argumentos de quienes estamos en contra», advirtió la exlegisladora. Rechazo al proyecto desde su presentación Barquero dijo haberse manifestado en contra del proyecto desde que este fue conocido públicamente, y señaló que su postura no ha cambiado con el tiempo. Calificó el movimiento social que se gestó en los días previos como una expresión legítima del descontento ciudadano, y expresó su respaldo sin reservas a quienes encabezaron la oposición al proyecto. «Me parece muy bien, me parece maravilloso», sostuvo al referirse a las movilizaciones recientes, independientemente de la afiliación política de sus participantes. Con ese mensaje, la exdiputada del PLN cerró su intervención reafirmando que la defensa de las instituciones públicas es una causa que trasciende banderas y colores políticos.",es
acontecercr,https://acontecer.co.cr/nacionales/rechazan-carlo-diaz-testigo-proceso-randall-zuniga,Rechazan a Carlo Díaz como testigo en proceso contra Randall Zúñiga,2026-05-27,2026-05-27 14:05:56,nacionales,"La defensa del exdirector del OIJ propuso al fiscal general como parte de su estrategia probatoria La Inspección Judicial rechazó al fiscal general Carlo Díaz como testigo dentro del proceso disciplinario que se sigue contra el exdirector del OIJ, Randall Zúñiga. La exclusión se da luego de que la defensa de Zúñiga lo propusiera como parte de su estrategia en el caso, el cual continúa en análisis dentro del ámbito judicial. Destitución y cargos contra Randall Zúñiga Zúñiga fue destituido de su cargo por la Corte Plena al considerar que incurrió en una falta gravísima . El proceso disciplinario en su contra está relacionado con una presunta filtración de información delicada a terceros. Además, el exjerarca mantiene procesos penales abiertos por aparentes delitos de abuso, lo que incrementa la atención sobre su situación judicial. Testigos propuestos por la defensa Por ahora, la causa sigue en desarrollo mientras se definen los elementos probatorios y los testigos que serán admitidos por la Inspección Judicial. En este proceso, la defensa también había ofrecido como testigo al periodista Álvaro Sánchez.",es
acontecercr,https://acontecer.co.cr/nacionales/asamblea-aprueba-ley-armonizacion-sistema-electrico-primer-debate,Asamblea aprueba Ley de Armonización del Sistema Eléctrico en primer debate,2026-05-26,2026-05-27 14:05:56,nacionales,"Proyecto 23.414 pasó con 27 votos a favor; Liberación Nacional y Frente Amplio votaron en contra La Asamblea Legislativa aprobó en primer debate, este 26 de mayo , el proyecto de ley 23.414 , denominado Ley de Armonización del Sistema Eléctrico Nacional, con el respaldo de 27 diputados frente a 24 que votaron en contra. La iniciativa introduce cambios estructurales en la organización del sector eléctrico costarricense, al incorporar nuevas reglas de operación, mecanismos de mercado y mayor competencia en ciertas actividades, sin eliminar las obligaciones de servicio público, continuidad y acceso universal. Qué cambia para el ICE con la reforma eléctrica El Instituto Costarricense de Electricidad (ICE) mantendría su rol como transmisor nacional, generador eléctrico y participante del mercado nacional y regional bajo el nuevo marco legal. Sin embargo, el proyecto le quitaría al ICE la función de operar técnicamente el sistema de manera simultánea a su participación comercial en el mercado eléctrico, una separación que los impulsores del proyecto presentaron como un principio de neutralidad institucional. De forma transitoria, el ICE seguiría como operador del sistema mientras la nueva entidad creada por la ley, denominada ECOSEN , entra plenamente en funcionamiento. Qué es ECOSEN y cuál sería su función ECOSEN sería una institución pública autónoma creada específicamente para operar el sistema eléctrico nacional de forma independiente a los actores comerciales del mercado. Entre sus funciones estarían la administración del mercado eléctrico, el despacho económico, la coordinación técnica del sistema y la gestión de las transacciones del mercado. El objetivo declarado de su creación es separar institucionalmente la función de operar el sistema de la función de competir en él, algo que actualmente realiza el ICE de forma conjunta. Liberación Nacional y Frente Amplio votaron en contra Los diputados del Partido Liberación Nacional (PLN) rechazaron el proyecto y salieron en defensa del ICE, argumentando que esa institución representa una de las grandes obras históricas de su partido. Por su parte, los legisladores del Frente Amplio (FA) también se opusieron, con el argumento de que la reforma eléctrica únicamente beneficiaría a un grupo reducido de familias con poder económico en el país. La aprobación en primer debate obliga al proyecto a pasar por un segundo debate antes de convertirse en ley de la República, por lo que el texto aún enfrenta otra votación en el plenario legislativo.",es
acontecercr,https://acontecer.co.cr/nacionales/junta-proteccion-social-lanza-jps-plus-nueva-aplicacion-movil,"Junta de Protección Social lanza JPS Plus, su nueva aplicación móvil",2026-05-26,2026-05-27 14:05:56,nacionales,"La plataforma sustituye a JPS A Su Alcance y reúne activación de productos, consultas y notificaciones en un solo lugar La Junta de Protección Social presentó oficialmente JPS Plus , la nueva versión de su aplicación móvil, una plataforma renovada que reemplaza a JPS A Su Alcance y busca modernizar la experiencia digital de sus clientes con una herramienta más ágil, intuitiva y eficiente. El lanzamiento fue respaldado por la institución el 26 de mayo de 2025 como parte de un proceso de transformación tecnológica impulsado desde la Gerencia de Producción y Comercialización. La nueva app reúne en un solo espacio servicios como la activación de productos, consulta de compras, recepción de notificaciones y acceso a otras funcionalidades diseñadas para fortalecer los canales digitales de la entidad. «La transformación hacia JPS Plus es un paso más que da nuestra institución en esa búsqueda de mejora, en esa búsqueda de modernización, siempre pensando en brindarle una mejor experiencia y un mayor fortalecimiento a nuestros canales digitales», afirmó Paola Nájera, presidenta ejecutiva de la Junta de Protección Social. Cómo migrar a JPS Plus desde la aplicación anterior La Junta de Protección Social explicó que el proceso de migración varía según el tipo de usuario. Las personas que ya contaban con un usuario registrado en JPS en Línea podrán ingresar a la nueva aplicación utilizando la opción «Olvidé mi contraseña» . En cambio, quienes únicamente utilizaban JPS A Su Alcance deberán crear un usuario desde cero en la plataforma antes de poder acceder a JPS Plus. La institución también aclaró que las activaciones vinculadas a promociones se mantienen al realizar el cambio de la aplicación anterior a la nueva plataforma, de modo que los usuarios no perderán sus beneficios activos durante la transición. Productos disponibles en los canales digitales Con el lanzamiento de JPS Plus, la Junta de Protección Social recordó a la ciudadanía los productos que pueden adquirirse a través de sus plataformas digitales. La Lotería Nacional, la Lotería Popular, el Lotto, los 3 Monazos y Nuevos Tiempos están disponibles mediante puntos MAX y a través de JPS en Línea . Los Chances y la Lotería Nacional también pueden adquirirse por medio de las personas vendedoras ubicadas a lo largo de todo el país, opción que la institución mantiene como canal presencial complementario. Compromiso institucional con la innovación digital La implementación de JPS Plus forma parte de las mejoras orientadas a ampliar las opciones de acceso a los productos oficiales de la Junta de Protección Social y a garantizar una plataforma segura y accesible para la ciudadanía. «La transformación hacia JPS Plus representa un paso importante en el proceso de modernización institucional y en el fortalecimiento de nuestros canales digitales, ofreciendo a las personas usuarias una plataforma más moderna, accesible y funcional», destacó la institución en su comunicado oficial. El lanzamiento estuvo acompañado del mensaje institucional que caracteriza la campaña de juego responsable de la entidad: «Jugá responsablemente, jugá para hacer el bien» .",es
acontecercr,https://acontecer.co.cr/nacionales/medico-gano-207-millones-horas-extra-ccss-desata-investigacion,Médico llegó a ganar más de ₡207 millones en horas extra en la CCSS y desata investigación,2026-05-26,2026-05-27 14:05:56,nacionales,"Auditoría interna de la Caja revela concentración de pagos CUMCAS en 38 médicos y Fiscalía allanó el Calderón Guardia Una auditoría interna de la Caja Costarricense de Seguro Social (CCSS) encendió las alertas sobre el uso de recursos destinados a reducir listas de espera en hospitales públicos. El informe revela que 38 médicos concentraron una porción significativa de los pagos realizados mediante el sistema conocido como CUMCAS , un mecanismo que remunera a especialistas por cirugías y procedimientos realizados fuera de su jornada ordinaria. Solo durante 2024 , la institución destinó más de ₡25 mil millones a este programa. Sin embargo, uno de los datos que más llamó la atención es que cerca de ₡2.847 millones fueron distribuidos entre ese grupo reducido de funcionarios. De acuerdo con la auditoría, un solo médico llegó a percibir más de ₡207 millones en pagos asociados a estas jornadas extraordinarias. El caso ya está bajo investigación judicial. La Fiscalía realizó allanamientos en el Hospital Calderón Guardia y confirmó que al menos 27 funcionarios figuran como investigados por aparentes irregularidades en el cobro de horas extra. Qué dice la CCSS sobre los hallazgos de la auditoría Por su parte, la CCSS indicó que el informe no concluye que existan delitos ni pagos ilegales, pero sí señala debilidades en los controles y la supervisión del uso de estos recursos. La situación reabre el debate sobre la transparencia en el manejo de fondos públicos dentro del sistema de salud costarricense, en un contexto en el que las listas de espera siguen siendo una de las principales presiones sobre la Caja. Fiscalía allanó el Calderón Guardia e investiga a 27 funcionarios En el marco de la investigación judicial, la Fiscalía ejecutó allanamientos en las instalaciones del Hospital Calderón Guardia , uno de los centros hospitalarios de mayor complejidad del país. Las autoridades confirmaron que al menos 27 funcionarios figuran formalmente como investigados por presuntas irregularidades en el cobro de horas extraordinarias vinculadas al sistema CUMCAS. El proceso judicial se encuentra en curso y los señalamientos apuntan a un posible aprovechamiento indebido de un mecanismo creado precisamente para agilizar la atención de pacientes en lista de espera.",es
acontecercr,https://acontecer.co.cr/nacionales/costa-rica-postula-gilberth-jimenez-siles-secretaria-sica-2026-2030,Costa Rica postula a Gilberth Jiménez Siles para dirigir el SICA 2026-2030,2026-05-26,2026-05-27 14:05:56,nacionales,"Canciller Manuel Tovar comunicó la terna al país que ejerce la presidencia pro tempore del organismo regional El Gobierno de Costa Rica presentó oficialmente al exdiputado Gilberth Jiménez Siles como su candidato principal para ocupar la Secretaría General del Sistema de la Integración Centroamericana (SICA) en el periodo 2026-2030 . La postulación fue comunicada por el canciller Manuel Tovar mediante un oficio dirigido a Roberto Álvarez , ministro de Relaciones Exteriores de República Dominicana, nación que actualmente ejerce la presidencia pro tempore del organismo regional. Lea también: Bogantes presenta proyecto para crear el Día Nacional de la Familia La terna propuesta por Costa Rica para el SICA Junto a Gilberth Jiménez Siles, la terna presentada por el Gobierno costarricense incluye a la exembajadora de Costa Rica en Washington, Catalina Crespo Sancho , y a la diplomática Lina Eugenia Ajoy Rojas . La Secretaría General del SICA es el cargo ejecutivo más alto del principal bloque de integración regional centroamericana, con sede en San Salvador, El Salvador. El perfil político de Gilberth Jiménez Siles Gilberth Jiménez Siles fue diputado por el Partido Liberación Nacional (PLN) , agrupación que abandonó tras perder la convención interna frente a Álvaro Ramos . Su distanciamiento del PLN fue acentuándose conforme Gilberth Jiménez Siles se alejó de la línea partidaria dentro de la Asamblea Legislativa . Desde entonces, Gilberth Jiménez Siles mantuvo una cercanía política con el oficialismo y respaldó al presidente Rodrigo Chaves Robles en distintos procesos y votaciones legislativas, lo que explica su designación como candidato preferente del Poder Ejecutivo para el cargo regional.",es
acontecercr,https://acontecer.co.cr/nacionales/ataque-balazos-vehiculo-alejandro-bran-redes-sociales,Supuesto ataque a balazos contra vehículo ligado a Alejandro Bran circula en redes sociales,2026-05-25,2026-05-27 14:05:56,nacionales,"Futbolista de Alajuelense vinculado a presunto incidente armado en Los Yoses; autoridades no confirman oficialmente El nombre del futbolista de Alajuelense y seleccionado nacional Alejandro Bran volvió a generar conversación luego de que en redes sociales comenzaran a circular versiones sobre un presunto ataque armado. De acuerdo con reportes preliminares, un vehículo que estaría vinculado con el jugador habría recibido varios impactos de bala mientras permanecía estacionado en San Pedro durante el fin de semana. El medio La Teja informó que los hechos habrían ocurrido la madrugada de este lunes en el sector de Los Yoses y que, según un informe policial, se reportó un carro baleado con características similares al del jugador. Además, ese medio señaló que una fuente cercana al futbolista confirmó que se trataría del vehículo de Bran, aunque las autoridades no han hecho una confirmación oficial. Según La Teja , el automóvil coincide con un Toyota Fortuner blanco y, tras una consulta al Registro de la Propiedad , se determinó que Bran es dueño de un vehículo con esas características, el mismo que aparece en videos de una polémica reciente protagonizada por el jugador semanas atrás. Ese medio también detalló que las imágenes que circulan en redes fueron ubicadas frente a la soda Yoguis, en San Pedro, donde se habría registrado el incidente. Casquillos en el lugar y ausencia del vehículo al llegar la Policía Siempre de acuerdo con La Teja , en el sitio se habrían encontrado al menos nueve casquillos de bala calibre 9 mm , tras una presunta gresca ocurrida en las cercanías de un centro nocturno en la zona. No obstante, cuando la Fuerza Pública realizó la verificación, el vehículo ya no se encontraba en el lugar y no se ubicó a ninguna persona afectada. En redes sociales circulan diversas imágenes del automóvil con aparentes daños, lo que ha incrementado la atención en torno a la situación. Testigos aseguran que Bran presuntamente se encontraba acompañado por otros dos futbolistas, aunque esta información tampoco ha sido verificada. Revisión interna en Alajuelense y antecedentes recientes del jugador De manera interna, el club Alajuelense habría iniciado una revisión para determinar si el jugador tuvo algún vínculo con el incidente o si su nombre fue mencionado por personas presentes en el lugar. Este nuevo episodio se suma a otro hecho reciente: hace un par de semanas, el jugador fue detenido por un incidente relacionado con ruido provocado por una motocicleta en su residencial, situación que incluso derivó en una sanción interna del club . Hasta el momento, ni las autoridades ni el equipo han emitido una posición oficial, por lo que el caso continúa en desarrollo.",es
acontecercr,https://acontecer.co.cr/nacionales/laura-fernandez-ordena-poligrafo-ministros-directores-policiales,Laura Fernández ordena polígrafo obligatorio a ministros y directores policiales,2026-05-25,2026-05-27 14:05:56,nacionales,"Presidenta Laura Fernández Delgado exige prueba de crimen organizado y narcotráfico a todo su gabinete La presidenta de la República, Laura Fernández Delgado , ordenó que todos los ministros y directores de los cuerpos policiales del país se sometan a una prueba de polígrafo como parte de una estrategia para erradicar cualquier vínculo con el crimen organizado y la corrupción dentro del Gobierno. Laura Fernández Delgado anunció la medida en una declaración pública en la que subrayó que el proceso de contratación del servicio ya está en marcha. «Todos los directores que están aquí, repito, se van a hacer una prueba de polígrafo, los ministros también. Y en esa prueba se va a aplicar un cuestionario de crimen organizado y narcotráfico», sentenció la presidenta Laura Fernández Delgado. Laura Fernández Delgado precisó que su administración ya está evaluando opciones para contratar el servicio en el menor plazo posible. La mandataria recordó que este tipo de prueba no es nueva para su círculo más cercano: ella misma se sometió a un polígrafo antes de asumir su candidatura a la presidencia, y sus candidatos a vicepresidentes también lo hicieron. Lealtad e integridad desde la cima del Gobierno Laura Fernández Delgado enmarcó la decisión como una exigencia de integridad que debe comenzar por quienes encabezan el aparato estatal, desde la Presidencia de la República hasta los mandos de cada cuerpo policial. «La lealtad y la dignidad de todos nuestros cuerpos policiales comienza por los que estamos al frente, desde la presidencia de la República hasta todos los directores de la policía de sus diferentes cuerpos», afirmó Laura Fernández Delgado. Con esa declaración, Laura Fernández Delgado dejó claro que la medida no aplica de forma selectiva, sino que alcanza a la totalidad de los funcionarios de alto rango de su administración sin excepción. Laura Fernández Delgado fue enfática al señalar que su Gobierno no tolerará el más mínimo contacto con redes criminales. «Yo no voy a tolerar el menor tufito de crimen organizado y corrupción», sentenció la presidenta Laura Fernández Delgado. La orden representa una de las medidas más directas que el actual Ejecutivo ha anunciado en materia de integridad institucional, en un contexto en que el combate al narcotráfico y la infiltración del crimen organizado en el Estado figuran entre las principales preocupaciones de la agenda de seguridad del país.",es
acontecercr,https://acontecer.co.cr/nacionales/juan-manuel-quesada-acusa-izquierda-comunista-miedo-proyecto-electrico,Juan Manuel Quesada acusa a la «izquierda comunista» de generar miedo por proyecto eléctrico,2026-05-25,2026-05-27 14:05:56,nacionales,"Diputado oficialista defiende Ley de Armonización Eléctrica y Sigrid Segura le responde en televisión El debate sobre el proyecto de Ley de Armonización Eléctrica subió de tono durante el espacio televisivo de Noticias Repretel, donde diputados confrontaron posiciones. El oficialista Juan Manuel Quesada, de la fracción Pueblo Soberano, defendió la iniciativa y aseguró que existe una campaña de desinformación impulsada por sectores de izquierda. «No se dejen engañar… los mismos de siempre, los de izquierda, los comunistas, los que se oponen a todo porque no quieren que este país eche para adelante», afirmó. El legislador insistió en que el proyecto traerá beneficios como tarifas más bajas, mayor disponibilidad de electricidad y generación de empleo. «Tenemos clarísimo que va a traer beneficios para los costarricenses», agregó. Sigrid Segura responde a las acusaciones de Quesada Desde la oposición, la diputada del Frente Amplio, Sigrid Segura, rechazó esos señalamientos y respondió directamente a Quesada durante el mismo intercambio televisivo. «Usted ni siquiera sabe qué es comunismo, señor», expresó. Segura cuestionó el contenido del proyecto y advirtió que podría provocar aumentos en tarifas y más apagones. «Este proyecto no tiene ni pies ni cabeza», sostuvo. Además, pidió abrir el debate sin recurrir a discursos de miedo y solicitó mayor claridad sobre los alcances de la iniciativa antes de avanzar en su trámite legislativo. Proyecto mantiene dividida a la Asamblea Legislativa La Ley de Armonización Eléctrica mantiene fracturada a la Asamblea Legislativa. Mientras la fracción oficialista respalda la iniciativa, partidos como Liberación Nacional y el Frente Amplio se oponen, junto a otras figuras políticas. En tanto, la posición de la diputada del PUSC , Abril Gordienko, aún no ha sido definida, lo que convierte su voto en una incógnita relevante para el destino del proyecto.",es
