source|url|title|publication_date|scraping_date|section|full_text|language
latejacr|https://www.lateja.cr/nacional/conductores-reportan-algo-extrano-que-esta/N6JF7J7U5RB35PLXUEYEVCSWO4/story/|Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días|2026-05-20 11:46:28|2026-05-20 19:48:34|Lo más leído|"Varios conductores llegaron esta mañana a la sede de Dekra en Cartago para una inspección técnica vehicular y no pudieron ser atendidos. Así lo contó José Pablo Montoya, vecino de la provincia brumosa.

LEA MÁS: Diputados no fueron los únicos: jerarcas judiciales también debieron entregar celulares

Muchos tienen que llevar sus vehículos a una inspección técnica vehicular en el mes que les corresponde según el número de placa. Este mayo era el turno para aquellos carros con terminación 5.

Antes de ir a alguna sede de Dekra, se debe hacer una cita en el sitio web de la empresa; sin embargo, cuando José Pablo quiso agendarla, se llevó la sorpresa de que en Cartago no habían citas.

“El 18 de mayo entré a la página y me di cuenta de que no habían citas. Claramente fue una sorpresa, puesto que todavía estamos casi a mitad de mes y ya no hay citas”, dijo.

Él no se rindió y decidió aprovechar esta mañana para ir a la sede ubicada en El Tejar de El Guarco para ver si lo podían atender y pedir respuestas.

“Estuve aproximadamente una hora y 10 minutos en el Dekra de Cartago y no hubo respuesta. Quizás nos podían decir que iban a ver si había alguna cita que se cancelara, pero simplemente dijeron que no había y que no podían atender”, comentó.

La falta de citas en Dekra extrañó mucho a José Pablo, pues es algo que nunca sucede. Esta es la primera vez que él se topa con este problema.

Se quedaría sin carro por más de 10 días

Si José Pablo no consigue una cita pronto en otra sede, aunque sea fuera de la Gran Área Metropolitana (GAM), tendrá que guardar su carro y utilizar el transporte público y alguna plataforma de servicio por más de 10 días.

Esto implica una inversión diaria, pues tendría que tomar bus desde Cartago hacia San José y luego montarse en un Uber o DiDi para llegar a su lugar de trabajo.

LEA MÁS: Colegio de Médicos lanza fuerte advertencia al gobierno por llegada de migrantes enviados por Estados Unidos

El vecino de Cartago tendría que hacer una inversión de aproximadamente 5.000 colones cada día en transporte desde y hacia su casa.

“Las personas que se encuentran con cita pendiente no van a poder realizar su inspección prácticamente porque las citas las están dando hasta junio. Esto va a restringir el tránsito porque sin Dekra no se puede utilizar el vehículo”, dijo.

¿Hay citas en otras sedes?

Este medio hizo el ejercicio de buscar citas en todas las sedes de Dekra y solo encontró pocos espacios en Puntarenas, Santo Domingo de Heredia y Sabalito de Coto Brus para esta y la próxima semana.

El resto de las sedes, como Cartago, Heredia, Alajuelita, Limón, entre otras, no cuentan con citas, por lo que los conductores tendrán que esperar hasta el próximo mes para la inspección o desplazarse a otros lugares para no quedarse sin vehículo por varios días.

“Soy de Cartago y si en Guápiles hay, tendría que irme hasta allá. Imagínese lo que es tener que sacar casi un día completo para trasladarme hasta ese lugar, que hagan la inspección y devolverme. Es prácticamente un día completo perdido. No es para nada rentable por el consumo de gasolina”, comentó el joven.

Por otro lado, un vecino de Barva de Heredia nos indicó que, en su caso, hace dos semanas logró sacar una cita en Dekra.

¿Qué dice Dekra?

La Teja consultó a Dekra el motivo por el cual no hay citas en la mayoría de sus sedes; sin embargo, la empresa no dio una mayor explicación de lo que está ocurriendo.

No obstante, se limitó a decir que en determinados momentos del mes puede presentarse una mayor demanda de citas en algunas estaciones, fechas u horarios.

“Ante esta dinámica, la empresa mantiene un monitoreo constante de la operación y de la disponibilidad de espacios, con el objetivo de brindar un servicio ordenado, oportuno y eficiente a las personas usuarias”, señaló.

Dekra recomendó a los conductores considerar las diferentes opciones de estaciones, fechas y horarios disponibles.

“Reitera su compromiso con la transparencia, la mejora continua y la prestación de un servicio de inspección técnica vehicular seguro, ordenado y accesible para la ciudadanía. Dekra continuará fortaleciendo sus procesos operativos y de atención, en beneficio de las personas usuarias y de la seguridad vial del país”, concluyó.

La empresa comunicó que mantiene habilitados los canales oficiales para la programación de citas a través del sitio web y el call center 4000-1100.

LEA MÁS: Diputada del PLN que salió molesta explica qué sucedió en la reunión con Laura Fernández"|es
latejacr|https://www.lateja.cr/sucesos/mopt-tomo-esta-decision-tras-video-de-supuesta/JGJMFTGMMRAKXHYEIKITW6ILRI/story/|MOPT tomó esta decisión tras video de supuesta oficial de Tránsito pidiendo dinero a conductor|2026-05-20 09:55:14|2026-05-20 19:48:34|Lo más leído|"El Ministerio de Obras Públicas y Transportes (MOPT) se refirió este miércoles al caso de una supuesta oficial de la Policía de Tránsito que fue grabada en San Vito de Coto Brus mientras, aparentemente, le solicitaba ₡10.000 a un conductor para no confeccionarle una multa.

Luego de la publicación del caso, el ministro del MOPT, Efraím Zeledón Leiva, indicó por medio de la oficina de prensa que ya se ordenó recopilar toda la información relacionada con lo ocurrido.

“Lamentamos mucho que se den este tipo de situaciones. De inmediato se ha instruido a recolectar toda la información (bitácoras, GPS, entre otros) para elevar el caso a las instancias correspondientes, de manera que se investigue el caso y se establezcan las medidas que correspondan”, señaló el jerarca

El hecho quedó registrado en un video captado por el propio conductor, quien decidió grabar la conversación luego de sospechar de la actuación de la funcionaria.

Caso Lusso: así era la vida de lujo que llevaban sospechosos detenidos por lavado de dinero

Caso Lusso: así era la vida de lujo que llevaban sospechosos detenidos por lavado de dinero

En la grabación se escucha al hombre reclamar que la oficial, aparentemente, intentó intimidarlo con una multa de ₡70.000 por una presunta infracción, pese a que —según él— otros oficiales le habían indicado anteriormente que esa falta no ameritaba esa sanción.

Según se escucha en el video, la oficial le habría planteado la posibilidad de entregarle ₡10.000 para evitar la boleta.

LEA MÁS: OIJ captura a sospechoso de homicidio en Puriscal: víctima corrió para pedir ayuda, pero murió en el hospital

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Durante la conversación, el conductor también le comenta a la funcionaria que ese día había trabajado desde las 4:00 de la mañana y apenas había logrado ganar ₡20.000, cuestionando que le pidieran parte de ese dinero.

Al notar que estaba siendo grabada y ante la molestia del chofer, la oficial le pidió detener la grabación e incluso borrar el video.

“Quítelo, por favor, no me haga daño”, se escucha decir a la mujer en la grabación.

El caso ahora será analizado por las autoridades correspondientes para determinar si existió alguna actuación irregular."|es
latejacr|https://www.lateja.cr/sucesos/caso-lusso-este-es-el-dueno-de-conocido-gimnasio/4W56OIC23ZG3BNQOB44A2RUMKM/story/|Caso Lusso: Este es el dueño de conocido gimnasio que se llenó de lujos un año y 7 meses|2026-05-19 11:43:55|2026-05-20 19:48:34|Lo más leído|"La vida de un excampeón de fisiculturismo, dueño de un conocido gimnasio en Santo Domingo de Heredia, cambió abismalmente en cuestión de un año y siete meses, periodo en el que experimentó un aumento patrimonial bastante inusual.

Se trata de un hombre apellidado Lanuza Víquez, quien fue una de las ocho personas detenidas por el OIJ este lunes como parte del operativo Lusso, en el que se investiga a una presunta organización dedicada al lavado de dinero producto del narcotráfico.

LEA MÁS: Las primeras palabras de Randall Zúñiga tras su destitución del OIJ

De acuerdo con una publicación de La Nación y, según el expediente judicial, en cuestión de un año y siete meses (julio de 2023- enero de 2025), Lanuza adquirió una propiedad en Limón y cuatro vehículos de lujo, realizando gastos que rondarían los ¢107 millones.

Se trata específicamente de un Audi Q8 modelo 2019, un pick-up Ford F-150, un Toyota Fortuner y una camioneta Chevrolet Tahoe modelo 2026. A esto se suma una propiedad ubicada en Talamanca de Limón, que habría comprado por unos ¢5 millones.

LEA MÁS: La impresionante mansión de cuatro pisos que impactó a los agentes del OIJ en caso Lusso

De acuerdo con la investigación de las autoridades, las ganancias generadas por el gimnasio de Lanuza y otros negocios asociados no coincidirían con el lujoso estilo de vida que llevaba el sospechoso, situación que lo convirtió en objetivo de las autoridades.

La hipótesis que manejan los investigadores señala que Lanuza, al parecer, cooperaba con el supuesto líder de la organización criminal, un hombre apellidado Alfaro Flores, para legitimar dinero que, aparentemente, provenía de actividades de narcotráfico.

LEA MÁS: Policías penitenciarios se llevaron gran sorpresa al revisar a reo que no quería ir al comedor

Como resultado del operativo por el caso Lusso, el OIJ decomisó varios inmuebles de lujo, como la mansión en Escazú en la que vivía Alfaro, así como vehículos de alto valor y muy exclusivos, entre ellos un Lamborghini Urus valorado en más de ¢180 millones."|es
latejacr|https://www.lateja.cr/farandula/sandra-leon-esposa-de-johnny-araya-afronta/N7P22J3JGFDXLFBBKLIRX4IXNE/story/|Sandra León, esposa de Johnny Araya, afronta devastadora noticia|2026-05-19 17:19:12|2026-05-20 19:48:34|Lo más leído|"La doctora Sandra León, esposa del exalcalde de San José, Johnny Araya, afronta este martes una devastadora noticia que compartió por medio de sus redes sociales.

Doña Sandra, ampliamente reconocida por su participación como odontóloga en distintos programas de televisión, comunicó el fallecimiento de su padre, Rogelio León Guzmán.

LEA MÁS: Esposa de Johnny Araya se cansó de las burlas y les respondió a todos los que hablaron del rechazo del alcalde

Sandra León despidió a su papá con emotivo mensaje

“Te amaré eternamente, papá, por siempre en mi corazón”, escribió León en Instagram junto con un video en el que aparece compartiendo con su padre en diferentes momentos de su vida.

Don Rogelio León Guzmán tenía 91 años, según corroboró La Teja en el Registro Civil, donde su fallecimiento ya aparece inscrito.

Revelan detalles de las honras fúnebres de don Rogelio León

La odontóloga también compartió información sobre las honras fúnebres de su progenitor.

En la esquela publicada por la familia se detalla que el velorio se realizará a partir de las 3 de la tarde de este martes en la funeraria Vida.

Mientras tanto, el último adiós a don Rogelio será este miércoles a las 10 de la mañana en la catedral de Limón Centro.

“Su memoria vivirá por siempre en nuestros corazones. Agradecemos las muestras de cariño y solidaridad en este difícil momento”, se lee en la esquela difundida por la familia.

LEA MÁS: Johnny Araya le negó un beso a su esposa en televisión nacional

Recibe mensajes de apoyo tras la muerte de su padre

La publicación de Sandra León rápidamente generó reacciones y mensajes de solidaridad de allegados, amigos y seguidores, quienes le han expresado fortaleza en este difícil momento familiar.

A Sandra León y toda su familia, desde La Teja les deseamos mucha fortaleza ante esta sensible pérdida."|es
latejacr|https://www.lateja.cr/farandula/bailarina-yessenia-reyes-atraviesa-uno-de-los/GSG7FHYXP5FHTKEUR2KRB3RZQ4/story/|Bailarina Yessenia Reyes atraviesa uno de los momentos más dolorosos de su vida|2026-05-20 09:27:34|2026-05-20 19:48:34|Lo más leído|"La bailarina Yessenia Reyes atraviesa uno de los momentos más dolorosos de su vida luego de confirmar el fallecimiento de su papá mientras se encuentra al otro lado del mundo, lejos de Costa Rica y con gran parte de su familia en El Salvador.

LEA MÁS: Festejo de querida productora de Teletica terminó con inesperado casting para famoso programa

Ella abrió su corazón en redes sociales y compartió el duro momento que está enfrentando tras la muerte de su papá.

“Las cosas cambiaron drásticamente en medio del viaje, perdón por mostrarme tan sensible y fuera de lo normal que soy, pero no puedo manejar el tema de otra forma que no sea la real, gracias por su respeto”, comentó antes de confirmar la triste noticia.

LEA MÁS: Mariana Uriarte reveló la clave que la ha mantenido 16 años junto a su esposo

La bailarina también agradeció los mensajes de apoyo y las muestras de cariño que ha recibido durante estas horas tan difíciles.

“Me enteré que mi papá acaba de partir, no existe una manera más dura de recibir una noticia así. Muchos de ustedes saben cuánto luchamos todo este tiempo. Hoy me toca vivir uno de los momentos más duros de mi vida al otro lado del mundo, completamente alejada de él y de mi familia”, agregó.

La exparticipante de Mira quién baila explicó que no podrá llegar al funeral de su padre, ya que actualmente se encuentra en Sevilla, España, mientras que su familia vive en El Salvador.

Según detalló, el viaje le tomaría varios días debido a la cantidad de vuelos que tendría que hacer y, además, no puede abandonar el proyecto laboral en el que participa actualmente.

“Tendría que tomar vuelos locales y después internacionales para llegar donde está mami. Además, no puedo detener el proyecto, hay un gran equipo detrás y no puedo irme y dejarlo tirado. Sé que él también habría querido que fuera así”, expresó entre lágrimas.

Yessenia confesó que, normalmente, no suele mostrar sus sentimientos en redes sociales, pero aseguró que esta vez se siente completamente rota.

“Quería agradecer por la vida de mi papá porque se lo merece y por el tiempo que Dios nos lo prestó, que fue un tiempo generoso, por lo que compartimos y por el amor que dejó en nuestras vidas y corazones”, detalló.

Hace algún tiempo, Yessenia Reyes ya había hablado sobre el delicado estado de salud de su papá y lo difícil que estaba siendo ese proceso para toda su familia.

En una entrevista anterior, la bailarina contó que su padre enfrentaba un complicado cuadro clínico debido a una insuficiencia renal y otros problemas de salud que le habían diagnosticado tiempo atrás.

Incluso, confesó que mientras participaba en Mira quién baila 2025 vivía con “un nudo en el corazón”, pues solo le pedía a Dios tener tiempo para acompañar y apoyar a sus seres queridos. Además, aseguró que esta situación siempre le recordaba lo valiosa que es la salud y la importancia de poner siempre a la familia en primer lugar.

Desde el equipo de La Teja le enviamos nuestras más sinceras condolencias a Yessenia Reyes y a toda su familia en este difícil momento. Deseamos que encuentren fortaleza y consuelo para afrontar esta dolorosa pérdida."|es
latejacr|https://www.lateja.cr/sucesos/asi-era-como-operaba-banda-ligada-a-cadena-de/M7A4HD6KTJDEDD5MRBE22DDIQM/story/|Así era como operaba banda ligada a cadena de gimnasios para darse la gran vida, según la Fiscalía|2026-05-19 09:29:18|2026-05-20 19:48:34|Lo más leído|"Una aparente organización criminal vinculada al tráfico internacional de drogas y legitimación de capitales fue desmantelada por las autoridades judiciales tras una serie de allanamientos realizados en distintas partes del país.

De acuerdo con la Fiscalía Adjunta de Legitimación de Capitales y Persecución Patrimonial, los sospechosos aparentemente utilizaban una cadena de gimnasios y otros bienes de lujo para legitimar dinero proveniente de actividades ilícitas.

LEA MÁS: Esto dice Galería de Autos tras intervención del OIJ relacionada con caso Lusso

Movían droga vía aérea hacia otros países

Según detalló el Ministerio Público, la agrupación criminal se dedicaba al envío de droga hacia otros países centroamericanos utilizando rutas aéreas.

Caso Lusso: Este es el dueño de conocido gimnasio que se llenó de lujos un año y 7 meses

Caso Lusso: Este es el dueño de conocido gimnasio que se llenó de lujos un año y 7 meses

“Conformaban una organización criminal, la cual se dedicó a traficar droga a Nicaragua, Honduras y Guatemala, vía aérea”, indicó la Fiscalía.

LEA MÁS: Caso Lusso: este sería el destino de Lamborghini y Ferrari decomisados por el OIJ

Por este caso, las autoridades solicitararán medidas cautelares contra seis hombres y dos mujeres de apellidos Alfaro, Backer, Monge, Villalta, Lanuza, Solís, Moya y Piedra.

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

La audiencia quedó programada para la mañana de este martes 19 de mayo en el Juzgado Penal de Heredia.

Vivían rodeados de lujos, según investigación

Las autoridades sospechan que los imputados utilizaron dinero obtenido de manera ilícita para adquirir y administrar propiedades y otros bienes con el objetivo de aparentar legalidad sobre los fondos.

Durante los 17 allanamientos realizados en San José, Heredia, Alajuela y Puntarenas, las autoridades decomisaron armas de fuego, dinero, vehículos, joyería, artículos electrónicos y obras de arte.

Además, se realizó la anotación de 29 bienes muebles y 28 inmuebles como parte del proceso judicial.

El caso se tramita bajo el expediente 22-000086-1322-PE y continúa bajo investigación por parte de las autoridades judiciales."|es
latejacr|https://www.lateja.cr/sucesos/policias-penitenciarios-se-llevaron-gran-sorpresa/4PY2LQNWE5CJZICVY72OXDSQEA/story/|Policías penitenciarios se llevaron gran sorpresa al revisar a reo que no quería ir al comedor|2026-05-19 10:53:39|2026-05-20 19:48:34|Lo más leído|"El inusual comportamiento de un privado de libertad, quien se estaba haciendo el loco para no ir al comedor de la cárcel, terminó delatando lo que escondía.

Al ser inspeccionado por oficiales de la Policía Penitenciaria, estos descubrieron que el sujeto apellidado Vega Zúñiga tenía en su poder cuatro teléfonos celulares.

LEA MÁS: Desesperada búsqueda de viejito de 85 años que desapareció mientras arreglaba cerca en finca

Así lo dio a conocer el Ministerio de Justicia, el cual indicó que los hechos ocurrieron en el Centro Penitenciario Luis Paulino Mora Mora, en San Rafael de Alajuela.

Caso Lusso: Este es el dueño de conocido gimnasio que se llenó de lujos un año y 7 meses

Caso Lusso: Este es el dueño de conocido gimnasio que se llenó de lujos un año y 7 meses

“El decomiso se dio cuando los oficiales penitenciarios llevaban a la población penal de uno de los ámbitos al comedor, observando que el privado de libertad Vega Zúñiga no mostraba interés por salir, lo que alertó a los agentes.

LEA MÁS: Así era como operaba banda ligada a cadena de gimnasios para darse la gran vida, según la Fiscalía

“De inmediato, y gracias a la experiencia de los oficiales, se procedió con la revisión corporal del sospechoso, localizando cuatro teléfonos celulares, tres de ellos con chip incorporado, por lo que se procedió con el decomiso y el trámite correspondiente”, detalló Justicia.

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Las autoridades penitenciarias indicaron que mantienen operativos constantes tanto dentro como fuera de las cárceles.

LEA MÁS: Las primeras palabras de Randall Zúñiga tras su destitución del OIJ

Según Justicia, del 8 de mayo al 17 de mayo del 2026, la Policía Penitenciaria ha realizado 153 intervenciones en las distintas cárceles del país, decomisando 22 teléfonos celulares, 20 chips para celular, 2.131 kg de distintas drogas, 423 armas blancas, 59 artículos electrónicos y 84 litros de líquido fermentado.

“Además, 27 personas han sido remitidas al Ministerio Público por tratar de introducir artículos no permitidos a las cárceles”, agregó Justicia."|es
latejacr|https://www.lateja.cr/sucesos/asi-ocurrio-el-asesinato-de-pareja-en-el-centro-de/EDCS6ZR5QNGO7CJLRAMTXWZO44/story/|Así ocurrió el asesinato de una pareja en el centro de San José|2026-05-20 11:36:37|2026-05-20 19:48:34|Lo más leído|"El Organismo de Investigación Judicial (OIJ) dio a conocer nuevos detalles sobre el asesinato de una pareja ocurrido la madrugada de este miércoles en el distrito de El Carmen, en las cercanías del parque Morazán en San José.

Según el reporte judicial, la alerta ingresó a las 5:35 a. m., mediante el sistema de emergencias 9-1-1.

De manera preliminar, las autoridades manejan que la pareja iba saliendo de un parqueo cuando, en determinado momento, fueron abordados por dos hombres que viajaban en motocicleta.

Los sospechosos dispararon en múltiples ocasiones contra el interior del vehículo en el que viajaban las víctimas.

Las primeras palabras de Randall Zúñiga tras su destitución del OIJ

Las primeras palabras de Randall Zúñiga tras su destitución del OIJ

En la escena fueron declarados sin vida un hombre de apellido Sánchez, de 30 años, y una mujer de apellido Jiménez, de 20 años, de nacionalidad nicaragüense, el cuerpo de este quedó sobre la acera, al parecer, trató de bajarse del auto.

LEA MÁS: Pareja es asesinada a balazos frente al Hotel El Rey, en el centro de San José

Según el OIJ, ambos presentaban múltiples impactos de bala en el cuerpo.

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Agentes de la Sección de Inspecciones Oculares y Recolección de Indicios recopilaron varios casquillos de arma calibre 9 milímetros, los cuales serán analizados en los laboratorios de Ciencias Forenses.

Los cuerpos fueron trasladados a la Morgue Judicial para los respectivos procedimientos, mientras el caso continúa bajo investigación para esclarecer el móvil del ataque y dar con los responsables."|es
latejacr|https://www.lateja.cr/deportes/torneo-nacional/joel-campbell-ya-habria-hablado-con-este-tecnico/VZQDGDTKXBEZDPQ4O4LOHQYFWY/story/|Joel Campbell ya habría hablado con este técnico de un club de Costa Rica|2026-05-19 18:10:31|2026-05-20 19:48:34|Lo más leído|"El futuro de Joel Campbell sigue en el aire, no hay claridad de qué puede pasar con el atacante luego que Alajuelense confirmó su salida del club este lunes.

Al tres veces mundialista con la Selección de Costa Rica lo han relacionado con varios clubes, pero la mayoría de equipos del fútbol nacional han descartado su fichaje.

LEA MÁS: ¿Cuál será el próximo paso de Joel Campbell tras salir de Alajuelense?

Joel Campbell habría explorado opción con Liberia

Fuentes de La Teja nos informaron que Joel habría tenido una conversación con el técnico José Saturnino Cardozo para tantear sus opciones en el Municipal Liberia.

Otro club de la primera división le cierra las puertas a Joel Campbell

Otro club de la primera división le cierra las puertas a Joel Campbell

Los aurinegros buscan apuntalar su planilla luego de clasificar a semifinales en los últimos dos torneos; sin embargo, de momento se desconoce lo que habría hablado con el Diablo mayor.

LEA MÁS: Afición de Alajuelense destroza a Joel Campbell tras confirmarse su salida

Hasta el momento los aurinegros solo han confirmado la contratación del volante Elián Morales."|es
latejacr|https://www.lateja.cr/farandula/teletica-anuncio-esto-por-el-inicio-de-operaciones/7HLHU6YCXVGPRNNLFX3VXQIA3E/story/|Teletica anunció esto por el inicio de operaciones de FOX en Costa Rica|2026-05-19 17:53:45|2026-05-20 19:48:34|Lo más leído|"La cadena FOX Corporation debutó oficialmente este martes en Costa Rica con su primera transmisión deportiva, pero horas antes Teletica sacudió la llegada del gigante internacional con una noticia que no pasó desapercibida.

La televisora del trencito confirmó por medio de sus redes sociales que FOX ya forma parte del catálogo de TDMAX, la plataforma de streaming creada por canal 7 hace algunos años.

LEA MÁS: Esto es todo lo que transmitirá FOX en su llegada a Costa Rica

FOX ya está disponible en TDMAX

“FOX está en TDMAX, bienvenidos”, anunció Teletica en un posteo de Instagram en el que además informó que la suscripción mensual a la aplicación tiene un costo de 11 dólares; es decir, unos 4.500 colones aproximadamente.

Periodista Álvaro Sánchez sorprende con esta decisión a un año de su despido de Teletica

Periodista Álvaro Sánchez sorprende con esta decisión a un año de su despido de Teletica

La plataforma permite a los usuarios disfrutar de partidos de fútbol, producciones originales y canales nacionales desde dispositivos móviles, computadoras y televisores inteligentes.

FOX arrancó transmisiones deportivas en Costa Rica

FOX Corporation comenzó operaciones en Costa Rica este martes con la transmisión del partido de la Premier League entre el Manchester City y el AFC Bournemouth.

LEA MÁS: Fox debuta en Costa Rica con unos bombazos, ¿cuáles son las primeras novedades en la pantalla?

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

Conductores reportan algo extraño que está ocurriendo con Dekra y por eso se quedarían sin carro por varios días

El encuentro terminó empatado 1-1 y marcó oficialmente el inicio de la nueva etapa deportiva de FOX en el país.

FOX adquirió Tigo Sports en Costa Rica

La llegada de FOX al mercado costarricense se da luego de que FOX Corporation adquiriera las operaciones de Tigo Sports en Costa Rica, movimiento que generó gran expectativa entre los aficionados al deporte y la televisión deportiva.

Con este paso, FOX fortalece su presencia en el mercado nacional y entra de lleno en la competencia por las transmisiones deportivas en el país.

LEA MÁS: Un partidazo histórico será con el que FOX debutará este martes en Costa Rica"|es
